,Cena,Približno,Neto cena,DDV,Bivalna površina,Število sob,Leto izgradnje,Vrsta ponudbe,Lokacija,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Neto površina,Površina parcele,Leto zadnje prenove,Opremljenost in stanje,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Možnost menjave,Interna številka oglasa,Energetski razred
0,320.000 €,,,,"200,00 m²",4,2013,Prodam,"Podravska, Pesnica pri Mariboru, Spodnje Dobrenje",Dvonadstropna,"Zidana hiša (beton, opeka)",Dvojček,"264,00 m²","1.300,00 m²",2013,Delno opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,15.09.2022. ob 08:08,Št. dni: 29 in 22 h,11 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-spodnje-dobrenje-200.00-m2-oglas-9961794,9961794,,,
1,157.000 €,,,,,,1966,Prodam,"Savinjska, Celje, Celje",,,Samostojna,"142,50 m²","898,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,15.09.2022. ob 00:17,do prodaje,46 -krat,https://www.bolha.com/nepremicnine/celje-hisa-samostojna-prodaja-oglas-9960899,9960899,Menjava za drugo nepremičnino ni možna,109210-114,
2,1.590.000 €,,,,"234,00 m²",5,2018,Prodam,"Goriška, Nova Gorica, Kromberk",,,Samostojna,"298,20 m²","2.860,00 m²",,Popolnoma opremljeno,7+,"Balkon, Terasa","Vrt/dvorišče, Bazen",Skupna cena,15.09.2022. ob 00:17,do prodaje,23 -krat,https://www.bolha.com/nepremicnine/gorica-kromberk-hisa-samostojna-prodaja-oglas-9960897,9960897,Menjava za drugo nepremičnino ni možna,106228-58,EI v izdelavi
3,Po dogovoru,,,,"150,00 m²",6,1970,Prodam,"Pomurska, Murska Sobota, Murska Sobota",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"200,00 m²","700,00 m²",2014,Popolnoma opremljeno,2,"Balkon, Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,14.09.2022. ob 19:53,Št. dni: 29 in 10 h,155 -krat,https://www.bolha.com/nepremicnine/prodaja-samostojne-hise-v-srediscu-murske-sobote-oglas-9960290,9960290,,,
4,250.000 €,,,,"250,00 m²",8,2005,Prodam,"Pomurska, Radenci, Radenski Vrh",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,,,,,,,Skupna cena,14.09.2022. ob 19:26,Št. dni: 29 in 10 h,60 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-radenski-vrh-250.00-m2-oglas-9960179,9960179,,,
5,149.000 €,,,,"65,00 m²",2,1974,Prodam,"Savinjska, Laško, Brstnik",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"150,00 m²","2.330,00 m²",2000,Popolnoma opremljeno,3,Balkon,"Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar",Skupna cena,14.09.2022. ob 16:19,Št. dni: 29 in 7 h,95 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-brstnik-65.00-m2-oglas-9959491,9959491,Menjava za drugo nepremičnino ni možna,,
6,350.000 €,,,,"140,00 m²",,2022,Prodam,"Savinjska, Braslovče, Trnava",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"580,00 m²",,,,,,Skupna cena,14.09.2022. ob 15:39,do prodaje,39 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-trnava-140.00-m2-oglas-9959343,9959343,,202113A-DL,
7,450.000 €,,,,"198,00 m²",,2005,Prodam,"Savinjska, Žalec, Migojnice",,"Zidana hiša (beton, opeka)",Samostojna,"198,00 m²","9.900,00 m²",,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,66 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-zalec-migojnice-oglas-9959264,9959264,,PH01476AP,
8,398.000 €,,,,"150,70 m²",6,1985,Prodam,"Gorenjska, Naklo, Podbrezje",,,Samostojna,"258,90 m²","402,00 m²",2020,Neopremljeno,brez pripadajočega parkirišča,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,25 -krat,https://www.bolha.com/nepremicnine/naklo-podbrezje-hisa-samostojna-prodaja-oglas-9959240,9959240,Menjava za drugo nepremičnino ni možna,109208-75,E (105 - 150 kWh/m²a)
9,130.000 €,,,,"330,90 m²",,2004,Prodam,"Podravska, Ptuj, Ptuj",,"Zidana hiša (beton, opeka)",Samostojna,,"740,00 m²",,Nedokončana gradnja,,,,Skupna cena,14.09.2022. ob 11:38,Št. dni: 29 in 2 h,192 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ptuj-330.00-m2-oglas-9958428,9958428,,,EI v izdelavi
10,185.000 €,,,,,3,2000,Prodam,"Podravska, Maribor, Pobrežje",Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,,,2021,Popolnoma opremljeno,,Atrij,,Skupna cena,14.09.2022. ob 11:20,Št. dni: 29 in 2 h,246 -krat,https://www.bolha.com/nepremicnine/hisa-oglas-9958360,9958360,,,
11,440.000 €,,,,"350,00 m²",7,2017,Prodam,"Savinjska, Šentjur, Ponikva",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"400,00 m²","1.500,00 m²",,Popolnoma opremljeno,7+,"Balkon, Zaprt balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,14.09.2022. ob 09:54,Št. dni: 19 in 3 h,9050 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ponikva-enonadstropna-250.00-m2-oglas-4103291,4103291,Možna menjava za drugo nepremičnino,,A1 (0 - 10 kWh/m²a)
12,320.000 €,,,,,5,2022,Prodam,"Osrednjeslovenska, Medvode, Rakovnik",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"150,00 m²",,,Neopremljeno,4,,,Skupna cena,14.09.2022. ob 09:39,Št. dni: 29,575 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-rakovnik-oglas-9707691,9707691,,,
13,85.000 €,,,,,3,1967,Prodam,"Podravska, Pesnica pri Mariboru, Jarenina",,,Samostojna,,,,,,,,Skupna cena,14.09.2022. ob 00:18,do prodaje,721 -krat,https://www.bolha.com/nepremicnine/starejsa-hisa-z-zemljiscem-in-razgledom-oglas-9956645,9956645,,490321042-301,
14,61.990 €,,,,"100,00 m²",,1984,Prodam,"Pomurska, Ljutomer, Ljutomer",Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"3.000,00 m²",2022,Popolnoma opremljeno,5,"Balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,13.09.2022. ob 21:13,Št. dni: 28 in 11 h,384 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ljutomer-100.00-m2-oglas-9956329,9956329,,,C (35 - 60 kWh/m²a)
