,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa,type,Število sob,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Površina parcele
0,169.900 €,,,,"66,70 m²",2-sobno,1961.0,Prodam,"Gorenjska, Jesenice, Slovenski Javornik",V večstanovanjski stavbi,2.,2.0,2020.0,Balkon,Vrt/dvorišče,Skupna cena,14.09.2022. ob 16:17,Št. dni: 29 in 19 h,378 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slovenski-javornik-66.70-m2-oglas-9702142,9702142,,,,,,,flat,,,,,
1,147.000 €,,,,"72,00 m²",3-sobno,1890.0,Prodam,"Gorenjska, Tržič, Slap",V večstanovanjski stavbi,Mansarda,2.0,2022.0,,"Vrt/dvorišče, Lopa za shranjevanje, Žar",Skupna cena,14.09.2022. ob 15:45,Št. dni: 29 in 18 h,21 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slap-72.00-m2-oglas-9959369,9959369,Popolnoma opremljeno,2,Menjava za drugo nepremičnino ni možna,,,,flat,,,,,
2,112.500 €,,,,,2-sobno,1963.0,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,5.,5.0,,,,Skupna cena,14.09.2022. ob 15:24,do prodaje,67 -krat,https://www.bolha.com/nepremicnine/2-sobno-maribor-center-oglas-9959303,9959303,,,,"46,90 m²",F (150 - 210 kWh/m2a),PE9616,flat,,,,,
3,148.000 €,,,,"109,00 m²",2-sobno,1978.0,Prodam,"Podravska, Maribor, Radvanje",V večstanovanjski stavbi,,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,38 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-podravska-maribor-spodnje-radvanje-oglas-9959268,9959268,,,,"109,00 m²",,PH4647394AB-1,flat,,,,,
4,178.000 €,,,,"85,00 m²",,1988.0,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,3.,3.0,2012.0,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,26 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-trisobno-savinjska-celje-celje-oglas-9959267,9959267,,,,"85,00 m²",,PS01691AP,flat,,,,,
5,137.000 €,,,,"60,00 m²",,1949.0,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,27 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvoinpolsobno-savinjska-celje-celje-oglas-9959266,9959266,,,,"60,00 m²",,PS01644AP,flat,,,,,
6,125.000 €,,,,"59,00 m²",,1986.0,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,4.,4.0,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,24 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvoinpolsobno-savinjska-celje-celje-oglas-9959265,9959265,,,,"59,00 m²",,PS01643AP,flat,,,,,
7,295.000 €,,,,"74,60 m²",3-sobno,1977.0,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,,4.0,2015.0,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,23 -krat,https://www.bolha.com/nepremicnine/ljubljana-bezigrad-stanovanje-3-sobno-prodaja-oglas-9959251,9959251,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"76,70 m²",E (105 - 150 kWh/m2a),101240-16,flat,,,,,
8,115.000 €,,,,"52,20 m²",2-sobno,1980.0,Prodam,"Podravska, Maribor, Radvanje",,,8.0,2012.0,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,40 -krat,https://www.bolha.com/nepremicnine/maribor-sp-radvanje-stanovanje-2-sobno-prodaja-oglas-9959250,9959250,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"58,60 m²",,100155-301,flat,,,,,
9,175.000 €,,,,"37,70 m²","1,5-sobno",1960.0,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Polje",V večstanovanjski stavbi,,,2010.0,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,21 -krat,https://www.bolha.com/nepremicnine/ljubljana-polje-stanovanje-1.5-sobno-prodaja-oglas-9959248,9959248,,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"46,60 m²",B2 (25 - 35 kWh/m2a),101240-17,flat,,,,,
10,157.000 €,,,,"58,00 m²",2-sobno,1973.0,Prodam,"Goriška, Nova Gorica, Nova Gorica",V večstanovanjski stavbi,4.,4.0,2018.0,,,Skupna cena,14.09.2022. ob 15:10,do prodaje,11 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-severna-primorska-gorica-goric-oglas-9959238,9959238,Popolnoma opremljeno,,,"58,00 m²",,KODA: P7142GO,flat,,,,,
