,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
0,169900,67,2-bedroom,1961,V večstanovanjski stavbi,2.,2,2020,Balkon,Vrt/dvorišče,missing,0,missing,missing,0,missing,missing,missing,0,Gorenjska, Jesenice, Slovenski Javornik
2,112500,0,2-bedroom,1963,V večstanovanjski stavbi,5.,5,0,missing,missing,missing,0,"46,90 m²",F (150 - 210 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Center
3,148000,109,2-bedroom,1978,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"109,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
4,178000,85,missing,1988,V večstanovanjski stavbi,3.,3,2012,missing,missing,missing,0,"85,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
5,137000,60,missing,1949,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"60,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
6,125000,59,missing,1986,V večstanovanjski stavbi,4.,4,0,missing,missing,missing,0,"59,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
7,295000,75,3-bedroom,1977,V večstanovanjski stavbi,missing,4,2015,Balkon,missing,Popolnoma opremljeno,0,"76,70 m²",E (105 - 150 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
8,115000,52,2-bedroom,1980,missing,missing,8,2012,Balkon,missing,Popolnoma opremljeno,0,"58,60 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
9,175000,38,"1,5-bedroom",1960,V večstanovanjski stavbi,missing,0,2010,Balkon,missing,missing,0,"46,60 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Polje
10,157000,58,2-bedroom,1973,V večstanovanjski stavbi,4.,4,2018,missing,missing,Popolnoma opremljeno,0,"58,00 m²",missing,0,missing,missing,missing,0,Goriška, Nova Gorica, Nova Gorica
11,89000,43,missing,1978,V večstanovanjski stavbi,3.,4,0,missing,missing,missing,0,"43,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
12,149417,53,2-bedroom,2024,missing,1.,5,0,Loža,missing,missing,0,missing,B (26 do 50 kWh/m2a) - HR,0,missing,missing,missing,0,Podravska, Maribor, Studenci
14,255985,196,4-bedroom,2024,V večstanovanjski stavbi,2.,5,0,Terasa,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
15,217360,88,4-bedroom,2024,V večstanovanjski stavbi,3.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
16,169944,60,"2,5-bedroom",2024,V večstanovanjski stavbi,1.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
17,143787,52,3-bedroom,2024,V večstanovanjski stavbi,1.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
19,148992,53,2-bedroom,2024,V večstanovanjski stavbi,1.,5,0,Atrij,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
20,208126,80,3-bedroom,2024,V večstanovanjski stavbi,4.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
21,189000,87,2-bedroom,1959,V večstanovanjski stavbi,1.,2,2017,Balkon,missing,Popolnoma opremljeno,1,"107,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Studenci
22,101000,0,"2,5-bedroom",1962,V večstanovanjski stavbi,4.,0,0,Balkon,missing,missing,0,"62,10 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Savinjska, Celje, Dečkovo polje
23,230000,137,6 in večbedroom,1999,V večstanovanjski stavbi,missing,3,0,Balkon,missing,Delno opremljeno,0,"152,70 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
24,139000,47,2-bedroom,1955,V večstanovanjski stavbi,missing,0,2018,missing,missing,Delno opremljeno,1,"58,30 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tabor
25,166500,62,3-bedroom,1968,V večstanovanjski stavbi,7.,9,2021,Balkon,missing,Popolnoma opremljeno,2,"66,70 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Magdalena
26,80800,30,1-bedroom,1974,V večstanovanjski stavbi,4.,0,2012,Balkon,missing,missing,0,"37,50 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Sežana, Sežana
