,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,Furniture,ParkingSpots,EnergyClass,Region,District,Neighborhood
0,169900,67,2-sobno,1961,V večstanovanjski stavbi,2.,2,2020,Balkon,,,,Gorenjska, Jesenice, Slovenski Javornik
1,147000,72,3-sobno,1890,V večstanovanjski stavbi,Mansarda,2,2022,,Popolnoma opremljeno,2,,Gorenjska, Tržič, Slap
2,112500,47,2-sobno,1963,V večstanovanjski stavbi,5.,5,0,,,,F (150 - 210 kWh/m2a),Podravska, Maribor, Center
3,148000,109,2-sobno,1978,V večstanovanjski stavbi,,0,0,,,,,Podravska, Maribor, Radvanje
4,178000,85,,1988,V večstanovanjski stavbi,3.,3,2012,,,,,Savinjska, Celje, Celje
5,137000,60,,1949,V večstanovanjski stavbi,,0,0,,,,,Savinjska, Celje, Celje
6,125000,59,,1986,V večstanovanjski stavbi,4.,4,0,,,,,Savinjska, Celje, Celje
7,295000,75,3-sobno,1977,V večstanovanjski stavbi,,4,2015,Balkon,Popolnoma opremljeno,brez pripadajočega parkirišča,E (105 - 150 kWh/m2a),Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
8,115000,52,2-sobno,1980,,,8,2012,Balkon,Popolnoma opremljeno,brez pripadajočega parkirišča,,Podravska, Maribor, Radvanje
9,175000,38,"1,5-sobno",1960,V večstanovanjski stavbi,,0,2010,Balkon,,brez pripadajočega parkirišča,B2 (25 - 35 kWh/m2a),Osrednjeslovenska, Ljubljana Moste Polje, Polje
10,157000,58,2-sobno,1973,V večstanovanjski stavbi,4.,4,2018,,Popolnoma opremljeno,,,Goriška, Nova Gorica, Nova Gorica
11,89000,43,,1978,V večstanovanjski stavbi,3.,4,0,,,,,Podravska, Maribor, Pobrežje
12,149417,53,2-sobno,2024,,1.,5,0,Loža,,,B (26 do 50 kWh/m2a) - HR,Podravska, Maribor, Studenci
13,212125,135,4-sobno,2024,,Pritličje,5,0,Atrij,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
14,255985,196,4-sobno,2024,V večstanovanjski stavbi,2.,5,0,Terasa,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
15,217360,88,4-sobno,2024,V večstanovanjski stavbi,3.,5,0,Loža,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
16,169944,60,"2,5-sobno",2024,V večstanovanjski stavbi,1.,5,0,Loža,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
17,143787,52,3-sobno,2024,V večstanovanjski stavbi,1.,5,0,Loža,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
18,229478,161,4-sobno,2024,V večstanovanjski stavbi,Pritličje,5,0,Atrij,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
19,148992,53,2-sobno,2024,V večstanovanjski stavbi,1.,5,0,Atrij,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
20,208126,80,3-sobno,2024,V večstanovanjski stavbi,4.,5,0,Loža,,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Studenci
21,189000,87,2-sobno,1959,V večstanovanjski stavbi,1.,2,2017,Balkon,Popolnoma opremljeno,1,,Podravska, Maribor, Studenci
22,101000,62,"2,5-sobno",1962,V večstanovanjski stavbi,4.,0,0,Balkon,,,D (60 - 105 kWh/m2a),Savinjska, Celje, Dečkovo polje
23,230000,137,6 in večsobno,1999,V večstanovanjski stavbi,,3,0,Balkon,Delno opremljeno,brez pripadajočega parkirišča,C (35 - 60 kWh/m2a),Podravska, Maribor, Pobrežje
24,139000,47,2-sobno,1955,V večstanovanjski stavbi,,0,2018,,Delno opremljeno,1,EI v izdelavi,Podravska, Maribor, Tabor
25,166500,62,3-sobno,1968,V večstanovanjski stavbi,7.,9,2021,Balkon,Popolnoma opremljeno,2,D (60 - 105 kWh/m2a),Podravska, Maribor, Magdalena
26,80800,30,1-sobno,1974,V večstanovanjski stavbi,4.,0,2012,Balkon,,,,Obalno-kraška, Sežana, Sežana
27,198000,60,3-sobno,1999,V večstanovanjski stavbi,Pritličje,2,2020,"Terasa, Atrij",Popolnoma opremljeno,,D (60 - 105 kWh/m2a),Podravska, Maribor, Pobrežje
28,250000,81,4-sobno,1962,,1.,4,0,,,,,Osrednjeslovenska, Ljubljana Vič Rudnik, Kolezija
30,169000,66,3-sobno,1967,V večstanovanjski stavbi,4.,4,2014,,,1,C (35 - 60 kWh/m2a),Podravska, Maribor, Studenci
31,395000,0,2-sobno,1989,,,0,0,,,1,C (35 - 60 kWh/m2a),Osrednjeslovenska, Ljubljana Bežigrad, Zupančičeva jama
32,133000,84,"3,5-sobno",1989,,4.,4,0,,,,,Podravska, Ptuj, Ptuj
33,165300,66,2-sobno,2010,V večstanovanjski stavbi,3.,3,0,Balkon,,2,,Savinjska, Vojnik, Vojnik
