,Price,SurfaceArea,TotalRooms,YearBuilt,TotalFloors,HouseMaterial,HouseType,LandArea,YearRenovated,Furniture,ParkingSpots,BalconyTerraceAtrium,OutdoorFurniture,EnergyClass,Region,District,Neighborhood
0,320000,200,4,2013,Dvonadstropna,"Zidana hiša (beton, opeka)",Dvojček,0,2013,Delno opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Pesnica pri Mariboru, Spodnje Dobrenje
1,157000,142,,1966,,,Samostojna,898,0,,brez pripadajočega parkirišča,,,,Savinjska, Celje, Celje
4,250000,250,8,2005,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Pomurska, Radenci, Radenski Vrh
5,149000,65,2,1974,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2000,Popolnoma opremljeno,3,Balkon,"Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar",,Savinjska, Laško, Brstnik
6,350000,140,,2022,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,580,0,,,,,,Savinjska, Braslovče, Trnava
7,450000,198,,2005,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Savinjska, Žalec, Migojnice
8,398000,151,6,1985,,,Samostojna,402,2020,Neopremljeno,brez pripadajočega parkirišča,Balkon,,E (105 - 150 kWh/m²a),Gorenjska, Naklo, Podbrezje
9,130000,331,,2004,,"Zidana hiša (beton, opeka)",Samostojna,740,0,Nedokončana gradnja,,,,EI v izdelavi,Podravska, Ptuj, Ptuj
10,185000,0,3,2000,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,0,2021,Popolnoma opremljeno,,Atrij,,,Podravska, Maribor, Pobrežje
11,440000,350,7,2017,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,7+,"Balkon, Zaprt balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar",A1 (0 - 10 kWh/m²a),Savinjska, Šentjur, Ponikva
12,320000,150,5,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Neopremljeno,4,,,,Osrednjeslovenska, Medvode, Rakovnik
13,85000,0,3,1967,,,Samostojna,0,0,,,,,,Podravska, Pesnica pri Mariboru, Jarenina
14,61990,100,,1984,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2022,Popolnoma opremljeno,5,"Balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",C (35 - 60 kWh/m²a),Pomurska, Ljutomer, Ljutomer
16,327000,290,,2001,,"Zidana hiša (beton, opeka)",Dvojček,620,0,Popolnoma opremljeno,brez pripadajočega parkirišča,,,,Obalno-kraška, Kozina, Bač pri Materiji
18,199000,107,3,1976,,"Zidana hiša (beton, opeka)",Samostojna,522,2018,Delno opremljeno,brez pripadajočega parkirišča,,,,Savinjska, Rogaška Slatina, Rogaška Slatina
19,170000,522,,1970,,"Zidana hiša (beton, opeka)",Samostojna,929,2002,Delno opremljeno,2,,,,Posavska, Sevnica, Boštanj
20,140000,70,3,1934,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2011,Delno opremljeno,,"Terasa, Atrij",Vrt/dvorišče,EI v izdelavi,Savinjska, Nazarje, Nazarje
22,90000,300,5,2010,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Pomurska, Lendava, Dolga vas
